EmployeeID,Name,Department,Salary
1,Employee1,Sales,98082.78
2,Employee2,IT,38767.32
3,Employee3,IT,65897.39
4,Employee4,Finance,65620.78
5,Employee5,Finance,81372.44
6,Employee6,IT,99033.17
7,Employee7,Finance,79383.93
8,Employee8,IT,77195.32
9,Employee9,Finance,85396.5
10,Employee10,Finance,73564.59
11,Employee11,Sales,37788.07
12,Employee12,Sales,84864.62
13,Employee13,Finance,54531.69
14,Employee14,HR,42842.53
15,Employee15,Sales,31855.05
16,Employee16,Marketing,92633.12
17,Employee17,Sales,82811.05
18,Employee18,IT,82374.45
19,Employee19,Finance,74574.45
20,Employee20,HR,53267.75
21,Employee21,Finance,96839.64
22,Employee22,Marketing,47373.71
23,Employee23,Sales,108551.1
24,Employee24,Finance,36313.03
25,Employee25,Finance,115681.2
26,Employee26,IT,81005.35
27,Employee27,Marketing,106938.37
28,Employee28,IT,95001.0
29,Employee29,IT,104346.66
30,Employee30,HR,63937.7
31,Employee31,Marketing,61520.43
32,Employee32,Sales,35060.1
33,Employee33,IT,83345.86
34,Employee34,Sales,31242.88
35,Employee35,Sales,118864.65
36,Employee36,Finance,44723.26
37,Employee37,HR,35908.99
38,Employee38,IT,104329.28
39,Employee39,Finance,118002.85
40,Employee40,Sales,52003.23
41,Employee41,Sales,101350.01
42,Employee42,Marketing,30240.84
43,Employee43,Finance,76105.83
44,Employee44,HR,73611.67
45,Employee45,Sales,73810.59
46,Employee46,HR,108515.04
47,Employee47,Marketing,69805.19
48,Employee48,Finance,109413.91
49,Employee49,Sales,91003.49
50,Employee50,HR,66701.52
51,Employee51,IT,87241.27
52,Employee52,IT,104697.29
53,Employee53,Finance,49429.42
54,Employee54,Finance,78801.21
55,Employee55,Marketing,64993.14
56,Employee56,Marketing,96925.37
57,Employee57,Finance,84966.24
58,Employee58,IT,99519.75
59,Employee59,Sales,49275.41
60,Employee60,IT,71615.39
61,Employee61,HR,38048.33
62,Employee62,IT,40287.55
63,Employee63,Marketing,100925.68
64,Employee64,IT,36025.57
65,Employee65,IT,105182.73
66,Employee66,HR,89731.55
67,Employee67,IT,98218.94
68,Employee68,HR,56800.28
69,Employee69,Finance,38073.28
70,Employee70,IT,88478.31
71,Employee71,HR,92077.39
72,Employee72,Marketing,100225.75
73,Employee73,IT,117622.84
74,Employee74,HR,104872.82
75,Employee75,Marketing,50630.44
76,Employee76,Finance,90245.26
77,Employee77,HR,43247.71
78,Employee78,IT,99471.24
79,Employee79,HR,112573.63
80,Employee80,Finance,93827.9
81,Employee81,Marketing,83519.8
82,Employee82,IT,101652.82
83,Employee83,HR,40222.46
84,Employee84,IT,51950.38
85,Employee85,HR,45504.92
86,Employee86,HR,80875.36
87,Employee87,Finance,95283.66
88,Employee88,Finance,70993.13
89,Employee89,Marketing,41133.92
90,Employee90,Finance,35503.1
91,Employee91,IT,73579.96
92,Employee92,Marketing,93966.7
93,Employee93,HR,53007.62
94,Employee94,IT,50616.96
95,Employee95,Sales,38556.51
96,Employee96,IT,31356.76
97,Employee97,HR,101702.26
98,Employee98,Sales,57559.01
99,Employee99,IT,39910.32
100,Employee100,Sales,39052.99
101,Employee101,Marketing,57941.35
102,Employee102,Sales,92187.26
103,Employee103,Finance,56025.39
104,Employee104,HR,90706.53
105,Employee105,IT,46159.32
106,Employee106,Finance,86442.21
107,Employee107,IT,112081.11
108,Employee108,HR,47668.14
109,Employee109,Marketing,65738.08
110,Employee110,Marketing,110044.2
111,Employee111,IT,97206.4
112,Employee112,Marketing,86381.37
113,Employee113,IT,55393.52
114,Employee114,Sales,116423.47
115,Employee115,IT,97325.8
116,Employee116,HR,47149.37
117,Employee117,IT,77840.84
118,Employee118,Marketing,55712.98
119,Employee119,IT,31502.46
120,Employee120,Marketing,80175.14
121,Employee121,Marketing,98195.45
122,Employee122,Marketing,83457.27
123,Employee123,Finance,109971.17
124,Employee124,IT,100252.56
125,Employee125,Sales,47169.24
126,Employee126,IT,70197.63
127,Employee127,IT,64519.68
128,Employee128,IT,87175.44
129,Employee129,HR,96818.89
130,Employee130,HR,37129.22
131,Employee131,HR,31910.31
132,Employee132,Finance,52559.47
133,Employee133,IT,114846.16
134,Employee134,Sales,59101.6
135,Employee135,Sales,119357.97
136,Employee136,Marketing,51432.27
137,Employee137,IT,38027.58
138,Employee138,Finance,101081.29
139,Employee139,Marketing,35941.21
140,Employee140,HR,107228.31
141,Employee141,HR,87825.43
142,Employee142,Finance,87345.75
143,Employee143,Marketing,68325.81
144,Employee144,Finance,93268.39
145,Employee145,Finance,100639.26
146,Employee146,Marketing,87794.12
147,Employee147,Marketing,94486.29
148,Employee148,Finance,81684.2
149,Employee149,IT,116040.71
150,Employee150,HR,85850.16
151,Employee151,Sales,66889.27
152,Employee152,IT,87968.91
153,Employee153,Finance,119368.25
154,Employee154,Sales,96493.09
155,Employee155,Sales,35428.37
156,Employee156,Marketing,111684.55
157,Employee157,Marketing,44291.27
158,Employee158,IT,62198.35
159,Employee159,Marketing,116446.29
160,Employee160,Finance,90045.83
161,Employee161,Sales,118858.49
162,Employee162,HR,32646.81
163,Employee163,Finance,92333.36
164,Employee164,IT,111750.35
165,Employee165,Finance,100314.09
166,Employee166,Sales,34705.66
167,Employee167,Marketing,74976.72
168,Employee168,HR,68086.74
169,Employee169,Marketing,40933.67
170,Employee170,Sales,65970.53
171,Employee171,Marketing,52974.31
172,Employee172,HR,102282.53
173,Employee173,Marketing,68637.9
174,Employee174,HR,69639.71
175,Employee175,Sales,108506.33
176,Employee176,IT,102503.51
177,Employee177,IT,72434.2
178,Employee178,IT,102394.76
179,Employee179,Sales,54055.01
180,Employee180,Marketing,104938.19
181,Employee181,Marketing,38085.28
182,Employee182,Marketing,53542.67
183,Employee183,IT,74894.57
184,Employee184,Finance,56913.82
185,Employee185,IT,50523.98
186,Employee186,IT,51340.53
187,Employee187,IT,30908.35
188,Employee188,IT,107288.77
189,Employee189,Sales,73379.04
190,Employee190,HR,30307.95
191,Employee191,Marketing,72426.92
192,Employee192,Marketing,65975.49
193,Employee193,IT,55981.88
194,Employee194,HR,76220.1
195,Employee195,Finance,54462.82
196,Employee196,IT,36765.61
197,Employee197,Marketing,55713.4
198,Employee198,HR,85921.8
199,Employee199,IT,67915.34
200,Employee200,Sales,47635.91
201,Employee201,Sales,87843.32
202,Employee202,Sales,89782.63
203,Employee203,Marketing,107067.62
204,Employee204,HR,89061.21
205,Employee205,IT,77497.72
206,Employee206,Marketing,82208.86
207,Employee207,IT,40556.09
208,Employee208,IT,84552.31
209,Employee209,HR,84946.72
210,Employee210,Marketing,54968.48
211,Employee211,Finance,86403.04
212,Employee212,Finance,69402.19
213,Employee213,HR,98818.44
214,Employee214,Finance,66842.15
215,Employee215,Marketing,49542.5
216,Employee216,Finance,66584.45
217,Employee217,Sales,95295.66
218,Employee218,IT,99189.35
219,Employee219,Finance,49689.17
220,Employee220,HR,83604.21
221,Employee221,HR,107434.35
222,Employee222,Finance,116973.22
223,Employee223,Sales,95312.36
224,Employee224,Marketing,77039.73
225,Employee225,Marketing,105453.07
226,Employee226,Marketing,57608.6
227,Employee227,Finance,62657.02
228,Employee228,Sales,48096.61
229,Employee229,Finance,84688.5
230,Employee230,HR,99249.91
231,Employee231,Marketing,91801.45
232,Employee232,Finance,80359.86
233,Employee233,Finance,44801.96
234,Employee234,HR,115402.08
235,Employee235,Marketing,80364.86
236,Employee236,Finance,71761.68
237,Employee237,Finance,90436.97
238,Employee238,Marketing,74969.39
239,Employee239,HR,114690.44
240,Employee240,IT,88267.29
241,Employee241,HR,118513.06
242,Employee242,Marketing,85124.48
243,Employee243,HR,108598.18
244,Employee244,Finance,88763.54
245,Employee245,Marketing,113708.23
246,Employee246,Sales,91988.11
247,Employee247,IT,100567.0
248,Employee248,HR,119781.34
249,Employee249,HR,61344.86
250,Employee250,Finance,77848.16
251,Employee251,IT,68858.79
252,Employee252,Finance,87299.82
253,Employee253,Finance,84149.31
254,Employee254,IT,110073.54
255,Employee255,Marketing,39914.02
256,Employee256,IT,102578.48
257,Employee257,IT,50956.68
258,Employee258,Sales,54131.29
259,Employee259,Finance,100324.03
260,Employee260,Sales,45309.63
261,Employee261,Marketing,46440.41
262,Employee262,Marketing,81180.46
263,Employee263,Marketing,79982.57
264,Employee264,Finance,63669.8
265,Employee265,Finance,84535.71
266,Employee266,HR,101002.24
267,Employee267,IT,97996.64
268,Employee268,Sales,62810.47
269,Employee269,Marketing,77067.38
270,Employee270,IT,108070.25
271,Employee271,Marketing,105212.19
272,Employee272,IT,41510.05
273,Employee273,Sales,55585.1
274,Employee274,HR,38488.21
275,Employee275,HR,45794.58
276,Employee276,Marketing,33909.16
277,Employee277,Finance,104517.33
278,Employee278,IT,58293.13
279,Employee279,Sales,49051.56
280,Employee280,Marketing,43244.34
281,Employee281,Sales,98586.06
282,Employee282,IT,106975.41
283,Employee283,Marketing,32693.78
284,Employee284,IT,91017.02
285,Employee285,Marketing,74852.49
286,Employee286,Marketing,85103.75
287,Employee287,HR,54204.84
288,Employee288,HR,93564.06
289,Employee289,IT,101968.76
290,Employee290,Sales,65179.88
291,Employee291,IT,80048.99
292,Employee292,Marketing,111136.26
293,Employee293,IT,90277.33
294,Employee294,Sales,119376.64
295,Employee295,IT,35991.07
296,Employee296,IT,89444.03
297,Employee297,Finance,94524.71
298,Employee298,IT,72400.48
299,Employee299,HR,58175.47
300,Employee300,Sales,92478.3
301,Employee301,Finance,90252.8
302,Employee302,Marketing,57947.3
